home,away,league,home_score,away_score,home_goalkeeper,away_goalkeeper,home_starting_2,home_starting_3,home_starting_4,home_starting_5,home_starting_6,home_starting_7,home_starting_8,home_starting_9,home_starting_10,home_starting_11,away_starting_2,away_starting_3,away_starting_4,away_starting_6,away_starting_7,away_starting_8,away_starting_9,away_starting_10,away_starting_11,,,,,,,,,,,,home_starting_2,home_starting_3,home_starting_4,home_starting_5,home_starting_6,home_starting_7,home_starting_8,home_starting_9,home_starting_10,home_starting_11
Blackburn Rovers,Sunderland,2002-2003 Barclays Premier League,0,0,Brad Friedel,Thomas Sorensen,Martin Taylor,Craig Short,Lucas Neill,Damien Duff,Keith Gillespie,Tugay Kerimoglu,David Dunn,Nils-Eric Johansson,Dwight Yorke,Andrew Cole,Stephen Wright,Michael Gray,Joachim Bjorklund,Claudio Reyna,Jason McAteer,Kevin Kilbane,Thomas Butler,Gavin McCann,Kevin Phillips,,,,,,,,,,,,Martin Taylor,Craig Short,Lucas Neill,Damien Duff,Keith Gillespie,Tugay Kerimoglu,David Dunn,Nils-Eric Johansson,Dwight Yorke,Andrew Cole
Charlton Athletic,Chelsea,2002-2003 Barclays Premier League,2,3,Dean Kiely,Carlo Cudicini,Paul Konchesky,Luke Young,Chris Powell,Richard Rufus,Gary Rowett,Chris Bart-Williams,Claus Jensen,Jonatan Johansson,Graham Stuart,Jason Euell,William Gallas,Albert Ferrer,Celestine Babayaro,Boudewijn Zenden,Emmanuel Petit,Frank Lampard,Enrique De Lucas,Gianfranco Zola,Jimmy Floyd Hasselbaink,,,,,,,,,,,,Paul Konchesky,Luke Young,Chris Powell,Richard Rufus,Gary Rowett,Chris Bart-Williams,Claus Jensen,Jonatan Johansson,Graham Stuart,Jason Euell
Everton,Tottenham Hotspur,2002-2003 Barclays Premier League,2,2,Richard Wright,Kasey Keller,Gary Naysmith,Tony Hibbert,Alan Stubbs,David Weir,Mark Pembridge,Thomas Gravesen,Li Tie,Tomasz Radzinski,Kevin Campbell,Wayne Rooney,Dean Richards,Mauricio Taricco,Anthony Gardner,Stephen Carr,Jamie Redknapp,Matthew Etherington,Simon Davies,Teddy Sheringham,Steffen Iversen,,,,,,,,,,,,Gary Naysmith,Tony Hibbert,Alan Stubbs,David Weir,Mark Pembridge,Thomas Gravesen,Li Tie,Tomasz Radzinski,Kevin Campbell,Wayne Rooney
Fulham,Bolton Wanderers,2002-2003 Barclays Premier League,4,1,Edwin van der Sar,Jussi Jaaskelainen,Alain Goma,Rufus Brevett,Andrew Melville,Steed Malbranque,Steve Finnan,Sean Davis,Sylvain Legwinski,Louis Saha,Luis Boa Morte,Steve Marlet,Simon Charlton,Gudni Bergsson,Bruno N'Gotty,Ricardo Gardner,Kevin Nolan,Per Frandsen,Jay-Jay Okocha,Youri Djorkaeff,Michael Ricketts,,,,,,,,,,,,Alain Goma,Rufus Brevett,Andrew Melville,Steed Malbranque,Steve Finnan,Sean Davis,Sylvain Legwinski,Louis Saha,Luis Boa Morte,Steve Marlet
Leeds United,Manchester City,2002-2003 Barclays Premier League,3,0,Paul Robinson,Carlo Nash,Danny Mills,Dominic Matteo,Lucas Radebe,Ian Harte,Harry Kewell,Lee Bowyer,Eirik Bakke,Nick Barmby,Alan Smith,Mark Viduka,Steve Howey,Sylvain Distin,Sun Jihai,Kevin Horlock,Niclas Jensen,Ali Benarbia,Marc-Vivien Foe,Shaun Wright-Phillips,Nicolas Anelka,,,,,,,,,,,,Danny Mills,Dominic Matteo,Lucas Radebe,Ian Harte,Harry Kewell,Lee Bowyer,Eirik Bakke,Nick Barmby,Alan Smith,Mark Viduka
Manchester United,West Bromwich Albion,2002-2003 Barclays Premier League,1,0,Roy Carroll,Russell Hoult,John O'Shea,Phil Neville,Mikael Silvestre,Laurent Blanc,Ryan Giggs,Roy Keane,Juan Sebastian Veron,David Beckham,Nicky Butt,Ruud van Nistelrooy,Igor Balis,Larus Sigurdsson,Neil Clement,Darren Moore,Sean Gregan,Andy Johnson,Derek McInnes,Jason Roberts,Daniele Dichio,,,,,,,,,,,,John O'Shea,Phil Neville,Mikael Silvestre,Laurent Blanc,Ryan Giggs,Roy Keane,Juan Sebastian Veron,David Beckham,Nicky Butt,Ruud van Nistelrooy
Southampton,Middlesbrough,2002-2003 Barclays Premier League,0,0,Paul Jones,Mark Schwarzer,Paul Williams,Jason Dodd,Wayne Bridge,Claus Lundekvam,Rory Delap,Chris Marsden,Fabrice Fernandes,Anders Svensson,Marians Pahars,James Beattie,Ugo Ehiogu,Robbie Stockdale,Gareth Southgate,Jonathan Greening,Carlos Marinelli,George Boateng,Geremi,Noel Whelan,Massimo Maccarone,,,,,,,,,,,,Paul Williams,Jason Dodd,Wayne Bridge,Claus Lundekvam,Rory Delap,Chris Marsden,Fabrice Fernandes,Anders Svensson,Marians Pahars,James Beattie
Aston Villa,Liverpool,2002-2003 Barclays Premier League,0,1,Peter Enckelman,Jerzy Dudek,Ulises De la Cruz,Steve Staunton,Gareth Barry,Mark Delaney,Ozalan Alpay,Olof Mellberg,Lee Hendrie,Thomas Hitzlsperger,Peter Crouch,Darius Vassell,Abel Xavier,Stephane Henchoz,Djimi Traore,Danny Murphy,Dietmar Hamann,Steven Gerrard,John Arne Riise,Michael Owen,El-Hadji Diouf,,,,,,,,,,,,Ulises De la Cruz,Steve Staunton,Gareth Barry,Mark Delaney,Ozalan Alpay,Olof Mellberg,Lee Hendrie,Thomas Hitzlsperger,Peter Crouch,Darius Vassell
Arsenal,Birmingham City,2002-2003 Barclays Premier League,2,0,David Seaman,Nico Vaesen,Sol Campbell,Ashley Cole,Martin Keown,Lauren,Ray Parlour,Edu,Patrick Vieira,Dennis Bergkamp,Sylvain Wiltord,Thierry Henry,Olivier Tebily,Kenny Cunningham,Martin Grainger,Jeff Kenna,Aliou Cisse,Bryan Hughes,Damien Johnson,Stern John,Geoff Horsfield,,,,,,,,,,,,Sol Campbell,Ashley Cole,Martin Keown,Lauren,Ray Parlour,Edu,Patrick Vieira,Dennis Bergkamp,Sylvain Wiltord,Thierry Henry
Newcastle United,West Ham United,2002-2003 Barclays Premier League,4,0,Shay Given,David James,Titus Bramble,Aaron Hughes,Nikos Dabizas,Olivier Bernard,Jermaine Jenas,Nolberto Solano,Kieron Courtney Dyer,Hugo Viana,Lomana Tresor LuaLua,Alan Shearer,Ian Pearce,Nigel Winterburn,Sebastian Schemmel,Tomas Repka,Michael Carrick,Joe Cole,Trevor Sinclair,Edouard Cisse,Jermain Defoe,,,,,,,,,,,,Titus Bramble,Aaron Hughes,Nikos Dabizas,Olivier Bernard,Jermaine Jenas,Nolberto Solano,Kieron Courtney Dyer,Hugo Viana,Lomana Tresor LuaLua,Alan Shearer
