home,away,league,home_score,away_score,home_starting_1,home_starting_2,home_starting_3,home_starting_4,home_starting_5,home_starting_6,home_starting_7,home_starting_8,home_starting_9,home_starting_10,home_starting_11,home_bench_3,home_bench_4,home_bench_5,away_starting_1,away_starting_2,away_starting_3,away_starting_4,away_starting_6,away_starting_7,away_starting_8,away_starting_9,away_starting_10,away_starting_11,away_bench_3,away_bench_4,away_bench_5
Blackburn Rovers,Sunderland,02-Mar,0,0,Brad Friedel,Martin Taylor,Craig Short,Lucas Neill,Damien Duff,Keith Gillespie,Tugay Kerimoglu,David Dunn,Nils-Eric Johansson,Dwight Yorke,Andrew Cole,Hakan Unsal,Corrado Grabbi,Craig Hignett,Thomas Sorensen,Stephen Wright,Michael Gray,Joachim Bjorklund,Claudio Reyna,Jason McAteer,Kevin Kilbane,Thomas Butler,Gavin McCann,Kevin Phillips,Julio Arca,Kevin Kyle,Niall Quinn
Charlton Athletic,Chelsea,02-Mar,2,3,Dean Kiely,Paul Konchesky,Luke Young,Chris Powell,Richard Rufus,Gary Rowett,Chris Bart-Williams,Claus Jensen,Jonatan Johansson,Graham Stuart,Jason Euell,Radostin Kishishev,Kevin Lisbie,Mathias Svensson,Carlo Cudicini,William Gallas,Albert Ferrer,Celestine Babayaro,Boudewijn Zenden,Emmanuel Petit,Frank Lampard,Enrique De Lucas,Gianfranco Zola,Jimmy Floyd Hasselbaink,Eidur Gudjohnsen,Carlton Cole,Jesper Gronkjaer
Everton,Tottenham Hotspur,02-Mar,2,2,Richard Wright,Gary Naysmith,Tony Hibbert,Alan Stubbs,David Weir,Mark Pembridge,Thomas Gravesen,Li Tie,Tomasz Radzinski,Kevin Campbell,Wayne Rooney,Juliano Rodrigo,David Unsworth,Niclas Alexandersson,Kasey Keller,Dean Richards,Mauricio Taricco,Anthony Gardner,Stephen Carr,Jamie Redknapp,Matthew Etherington,Simon Davies,Teddy Sheringham,Steffen Iversen,Ben Thatcher,Les Ferdinand,Milenko Acimovic
Fulham,Bolton Wanderers,02-Mar,4,1,Edwin van der Sar,Alain Goma,Rufus Brevett,Andrew Melville,Steed Malbranque,Steve Finnan,Sean Davis,Sylvain Legwinski,Louis Saha,Luis Boa Morte,Steve Marlet,John Collins,Junichi Inamoto,Facundo Sava,Jussi Jaaskelainen,Simon Charlton,Gudni Bergsson,Bruno N'Gotty,Ricardo Gardner,Kevin Nolan,Per Frandsen,Jay-Jay Okocha,Youri Djorkaeff,Michael Ricketts,Henrik Pedersen,Paul Warhurst,Mike Whitlow
Leeds United,Manchester City,02-Mar,3,0,Paul Robinson,Danny Mills,Dominic Matteo,Lucas Radebe,Ian Harte,Harry Kewell,Lee Bowyer,Eirik Bakke,Nick Barmby,Alan Smith,Mark Viduka,Olivier Dacourt,Seth Johnson,Robbie Keane,Carlo Nash,Steve Howey,Sylvain Distin,Sun Jihai,Kevin Horlock,Niclas Jensen,Ali Benarbia,Marc-Vivien Foe,Shaun Wright-Phillips,Nicolas Anelka,Richard Dunne,Darren Huckerby,Chris Shuker
Manchester United,West Bromwich Albion,02-Mar,1,0,Roy Carroll,John O'Shea,Phil Neville,Mikael Silvestre,Laurent Blanc,Ryan Giggs,Roy Keane,Juan Sebastian Veron,David Beckham,Nicky Butt,Ruud van Nistelrooy,Paul Scholes,Diego Forlan,Ole Gunnar Solskjaer,Russell Hoult,Igor Balis,Larus Sigurdsson,Neil Clement,Darren Moore,Sean Gregan,Andy Johnson,Derek McInnes,Jason Roberts,Daniele Dichio,Bob Taylor,Lee Marshall,Scott Dobie
Southampton,Middlesbrough,02-Mar,0,0,Paul Jones,Paul Williams,Jason Dodd,Wayne Bridge,Claus Lundekvam,Rory Delap,Chris Marsden,Fabrice Fernandes,Anders Svensson,Marians Pahars,James Beattie,Brett Ormerod,Paul Telfer,Jo Tessem,Mark Schwarzer,Ugo Ehiogu,Robbie Stockdale,Gareth Southgate,Jonathan Greening,Carlos Marinelli,George Boateng,Geremi,Noel Whelan,Massimo Maccarone,Colin Cooper,Szilard Nemeth,Alen Boksic
Aston Villa,Liverpool,02-Mar,0,1,Peter Enckelman,Ulises De la Cruz,Steve Staunton,Gareth Barry,Mark Delaney,Ozalan Alpay,Olof Mellberg,Lee Hendrie,Thomas Hitzlsperger,Peter Crouch,Darius Vassell,Jlloyd Samuel,Moustapha Hadji,Marcus Allback,Jerzy Dudek,Abel Xavier,Stephane Henchoz,Djimi Traore,Danny Murphy,Dietmar Hamann,Steven Gerrard,John Arne Riise,Michael Owen,El-Hadji Diouf,Bruno Cheyrou,Emile Heskey,Jamie Carragher
Arsenal,Birmingham City,02-Mar,2,0,David Seaman,Sol Campbell,Ashley Cole,Martin Keown,Lauren,Ray Parlour,Edu,Patrick Vieira,Dennis Bergkamp,Sylvain Wiltord,Thierry Henry,Kolo Toure,Gilberto Silva,Jeremie Aliadiere,Nico Vaesen,Olivier Tebily,Kenny Cunningham,Martin Grainger,Jeff Kenna,Aliou Cisse,Bryan Hughes,Damien Johnson,Stern John,Geoff Horsfield,Tommy Mooney,Darren Carter,Stan Lazaridis
Newcastle United,West Ham United,02-Mar,4,0,Shay Given,Titus Bramble,Aaron Hughes,Nikos Dabizas,Olivier Bernard,Jermaine Jenas,Nolberto Solano,Kieron Courtney Dyer,Hugo Viana,Lomana Tresor LuaLua,Alan Shearer,Jamie McClen,Robbie Elliott,Shola Ameobi,David James,Ian Pearce,Nigel Winterburn,Sebastian Schemmel,Tomas Repka,Michael Carrick,Joe Cole,Trevor Sinclair,Edouard Cisse,Jermain Defoe,Titi Camara,Vladimir Labant,John Moncur
Chelsea,Manchester United,02-Mar,2,2,Carlo Cudicini,William Gallas,Mario Melchiot,Celestine Babayaro,Marcel Desailly,Boudewijn Zenden,Emmanuel Petit,Frank Lampard,Enrique De Lucas,Gianfranco Zola,Jimmy Floyd Hasselbaink,Jesper Gronkjaer,Eidur Gudjohnsen,Carlton Cole,Roy Carroll,John O'Shea,Phil Neville,Mikael Silvestre,Ryan Giggs,Roy Keane,Paul Scholes,David Beckham,Nicky Butt,Ruud van Nistelrooy,Juan Sebastian Veron,Ole Gunnar Solskjaer,Diego Forlan
Manchester City,Newcastle United,02-Mar,1,0,Peter Schmeichel,Steve Howey,Sylvain Distin,Sun Jihai,Eyal Berkovic,Niclas Jensen,Ali Benarbia,Marc-Vivien Foe,Shaun Wright-Phillips,Darren Huckerby,Nicolas Anelka,Danny Tiatto,Shaun Goater,Kevin Horlock,Shay Given,Titus Bramble,Aaron Hughes,Nikos Dabizas,Jermaine Jenas,Gary Speed,Nolberto Solano,Kieron Courtney Dyer,Lomana Tresor LuaLua,Alan Shearer,Andy Griffin,Hugo Viana,Shola Ameobi
Birmingham City,Blackburn Rovers,02-Mar,0,1,Nico Vaesen,Olivier Tebily,Kenny Cunningham,Martin Grainger,Darren Purse,Aliou Cisse,Bryan Hughes,Damien Johnson,Darren Carter,Stern John,Geoff Horsfield,Nicky Eaden,Stan Lazaridis,Tommy Mooney,Brad Friedel,Martin Taylor,Craig Short,Lucas Neill,Tugay Kerimoglu,Garry Flitcroft,David Dunn,Nils-Eric Johansson,Dwight Yorke,Andrew Cole,Craig Hignett,Corrado Grabbi,Henning Berg
Bolton Wanderers,Charlton Athletic,02-Mar,1,2,Jussi Jaaskelainen,Anthony Barness,Simon Charlton,Mike Whitlow,Paul Warhurst,Bruno N'Gotty,Ricardo Gardner,Per Frandsen,Youri Djorkaeff,Michael Ricketts,Henrik Pedersen,Kevin Nolan,Jonathan Walters,Dean Holdsworth,Dean Kiely,Paul Konchesky,Luke Young,Chris Powell,Gary Rowett,Chris Bart-Williams,Claus Jensen,Jonatan Johansson,Graham Stuart,Jason Euell,Steve Brown,Mathias Svensson,Kevin Lisbie
Liverpool,Southampton,02-Mar,3,0,Jerzy Dudek,Abel Xavier,Stephane Henchoz,Djimi Traore,Sami Hyypia,Danny Murphy,Dietmar Hamann,Steven Gerrard,Michael Owen,Emile Heskey,El-Hadji Diouf,Bruno Cheyrou,John Arne Riise,Vladimir Smicer,Paul Jones,Paul Williams,Wayne Bridge,Claus Lundekvam,Rory Delap,Chris Marsden,Fabrice Fernandes,Anders Svensson,Marians Pahars,James Beattie,Brett Ormerod,Michael Svensson,Jo Tessem
Middlesbrough,Fulham,02-Mar,2,2,Mark Schwarzer,Ugo Ehiogu,Robbie Stockdale,Colin Cooper,Gareth Southgate,Jonathan Greening,Carlos Marinelli,George Boateng,Geremi,Alen Boksic,Massimo Maccarone,Mark Wilson,Joseph Desire Job,Noel Whelan,Edwin van der Sar,Alain Goma,Rufus Brevett,Andrew Melville,Steve Finnan,Sean Davis,Sylvain Legwinski,Louis Saha,Luis Boa Morte,Steve Marlet,John Collins,Junichi Inamoto,Facundo Sava
Sunderland,Everton,02-Mar,0,1,Thomas Sorensen,Stephen Wright,Michael Gray,Joachim Bjorklund,Phil Babb,Claudio Reyna,Jason McAteer,Thomas Butler,Gavin McCann,Kevin Phillips,Kevin Kyle,Julio Arca,Niall Quinn,Matthew Piper,Richard Wright,Gary Naysmith,Tony Hibbert,Alan Stubbs,Mark Pembridge,Thomas Gravesen,Niclas Alexandersson,Li Tie,Tomasz Radzinski,Kevin Campbell,Juliano Rodrigo,Wayne Rooney,Tobias Linderoth
Tottenham Hotspur,Aston Villa,02-Mar,1,0,Kasey Keller,Dean Richards,Christian Ziege,Mauricio Taricco,Anthony Gardner,Jamie Redknapp,Matthew Etherington,Simon Davies,Milenko Acimovic,Teddy Sheringham,Les Ferdinand,Ben Thatcher,Goran Bunjevcevic,Gary Doherty,Peter Enckelman,Ulises De la Cruz,Steve Staunton,Gareth Barry,Alan Wright,Olof Mellberg,Mark Kinsella,Lee Hendrie,Peter Crouch,Darius Vassell,Juan Pablo Angel,Jlloyd Samuel,Marcus Allback
West Ham United,Arsenal,02-Mar,2,2,David James,Nigel Winterburn,Sebastian Schemmel,Christian Dailly,Tomas Repka,Michael Carrick,Joe Cole,Trevor Sinclair,Edouard Cisse,Frederic Kanoute,Jermain Defoe,Titi Camara,Gary Breen,John Moncur,David Seaman,Sol Campbell,Ashley Cole,Martin Keown,Ray Parlour,Edu,Patrick Vieira,Dennis Bergkamp,Sylvain Wiltord,Thierry Henry,Kolo Toure,Jermaine Pennant,Nwankwo Kanu
